,BrandName,Details,Sizes,MRP,SellPrice,Discount,Category
22019,lemon & pepper,polyurethane slipon womens casual flats - green,"Size:36,37,38,39,40,41",1698,2199,No Discount,Footwear-Women
22020,shoetopia,synthetic womens casual flats - pink,"Size:36,37,38,39,40,41",999,499,50% off,Footwear-Women
22021,skechers,mesh slip on womens casual shoes - plum,"Size:6,7,8,9,10",5999,3599,40% off,Footwear-Women
22022,catwalk,pu slip on womens casual platform sandals - black,"Size:4,5,6,7,8",2895,2316,20% off,Footwear-Women
22023,inc.5,synthetic open back womens party heels - pink,"Size:5,6,7,8,9,10",1890,945,50% off,Footwear-Women
22024,estatos,polyurethane slipon womens party wear sandals - yellow,"Size:36,37,38,40,41",1799,989,45% off,Footwear-Women
22025,catwalk,synthetic round toe womens party wear sandals - silver grey,"Size:5,6,7",2495,1247,50% off,Footwear-Women
22026,puma,mesh slip on womens sneakers - silver grey,"Size:3,4,5,6,7",1698,3999,No Discount,Footwear-Women
22027,inc.5,womens casual wear buckle closure heels - antique,"Size:4,5,6,7,8,9,10",2390,1490,38% off,Footwear-Women
22028,inc.5,synthetic others womens party block heel sandals - natural,"Size:36,37,38,40",2590,1295,50% off,Footwear-Women
22029,catwalk,synthetic buckle womens casual wear platforms - white,"Size:4,5,6,7,8",2095,1676,20% off,Footwear-Women
22030,skechers,mesh slip on womens casual shoes - mint,"Size:6,7,8,9",5499,2749,50% off,Footwear-Women
22031,inc.5,womens casual wear slipon flats - gunmetal,Size:6,1790,895,50% off,Footwear-Women
22032,catwalk,womens solid textured slip ons - black,"Size:4,5,6,7,8,9",1995,1596,20% off,Footwear-Women
22033,skechers,womens casual wear slipon wedges - gold,"Size:6,7,8,9",1698,3499,No Discount,Footwear-Women
22034,catwalk,fabric slipon womens casual wear flat sandals - pink,Size:4,2895,1447,50% off,Footwear-Women
22035,puma,textile low boot laces unisex sports shoes - white,Size:6,1698,4499,No Discount,Footwear-Women
22036,tresmode,leather slip on womens formal ballerinas - black,"Size:36,37,38,39,40",3695,1847,50% off,Footwear-Women
22037,puma,leather lace up womens casual shoes - blue,"Size:4,5,6,7",1698,6999,No Discount,Footwear-Women
22038,estatos,womens casual wear slipon heels - camel,Size:40,894,536,40% off,Footwear-Women
22039,estatos,synthetic leather open toe womens casual sandals - grey,"Size:36,37,38,39,40,41",1499,824,45% off,Footwear-Women
22040,shoetopia,synthetic womens casual sneakers - pink,"Size:36,37,38,39,40,41",999,799,20% off,Footwear-Women
22041,adidas,synthetic slipon unisex slides - blue,"Size:8,10,11",1698,2299,No Discount,Footwear-Women
22042,skechers,knit slipon womens casual sneakers - black,"Size:6,7,8,9,10",5999,3599,40% off,Footwear-Women
22043,skechers,synthetic on-the-go 600 - glistening womens slippers - navy,"Size:6,7,8,9",1698,3499,No Discount,Footwear-Women
22044,haute curry,pu slip on womens round toe sandals - grey,"Size:36,37,38,39,40,41",2799,2239,20% off,Footwear-Women
22045,inc.5,synthetic slip on womens casual wear sandals - peach,"Size:5,6,7,8,9,10",1698,2190,No Discount,Footwear-Women
22046,catwalk,womens color-block platform sandals - brown,"Size:5,6,7,8",2495,1247,50% off,Footwear-Women
22047,inc.5,synthetic slipon womens casual mules - white,"Size:4,5,6,7,8,9,10",1698,2190,No Discount,Footwear-Women
22048,inc.5,synthetic open back womens heels - tan,"Size:4,6,7",2590,1490,42% off,Footwear-Women
22049,catwalk,womens velvet strappy slides - blue,"Size:4,5",1895,599,68% off,Footwear-Women
22050,new balance,synthetic mesh lace up womens sneakers - black,"Size:4.5,5,5.5,6,6.5,7.5",8999,6299,30% off,Footwear-Women
22051,shoetopia,synthetic womens casual flats - pink,"Size:37,38,39,40,41",999,499,50% off,Footwear-Women
22052,shoetopia,synthetic womens casual sandals - red,"Size:36,37,38,39,40,41",999,699,30% off,Footwear-Women
22053,catwalk,fabric slipon womens casual wear platforms - bronze,"Size:5,6,7,8",2595,1297,50% off,Footwear-Women
22054,skechers,knit lace up womens casual sneakers - blue,"Size:6,7,8,9,10",5299,3179,40% off,Footwear-Women
22055,inc.5,synthetic slipon womens casual wear flats - white,"Size:37,39,40",2190,1095,50% off,Footwear-Women
22056,lemon & pepper,pu buckle womens casual wear sandals - blue,"Size:36,37,38,39,40,41",3499,2449,30% off,Footwear-Women
22057,inc.5,synthetic slip on womens casual wear flats - light blue,"Size:5,6,7,8,9,10,11,12",1698,1890,No Discount,Footwear-Women
22058,skechers,knit slipon womens casual sneakers - rose,"Size:7,8,9,10",4499,2249,50% off,Footwear-Women
22059,catwalk,synthetic slip on womens party mules - multi,"Size:4,5,6,7,8,9",2895,2316,20% off,Footwear-Women
22060,inc.5,synthetic slipon womens party wear flats - green,"Size:37,38,39,40",1990,995,50% off,Footwear-Women
22061,inc.5,synthetic slipon womens casual wear flats - black,"Size:37,39,40",2190,1095,50% off,Footwear-Women
22062,modare,polyurethane slipon womens casual ballerinas - off white,"Size:36,37,38,39,40,41",1698,3299,No Discount,Footwear-Women
22063,crocs,croslite slip on womens casual wear slides - black,"Size:3,4,5,6,7",1698,2495,No Discount,Footwear-Women
22064,shoetopia,synthetic womens casual sandals - black,"Size:36,37,38,39,40,41",1698,499,No Discount,Footwear-Women
22065,shoetopia,synthetic womens casual sandals - white,"Size:36,37,38,39,40,41",999,799,20% off,Footwear-Women
22066,estatos,pu open toe womens party sandals - copper,"Size:36,38,41",1599,799,50% off,Footwear-Women
22067,lemon & pepper,pu buckle womens casual wear sandals - natural,"Size:36,37,38,39,40,41",4799,3359,30% off,Footwear-Women
22068,catwalk,womens pure leather stitch detailed mules - tan,"Size:4,5,6,7,8,9",1895,1516,20% off,Footwear-Women
22069,puma,synthetic slip on womens casual shoes - purple,"Size:3,4,5,6,7",1698,2499,No Discount,Footwear-Women
22070,estatos,womens casual wear buckle closure wedges - black,"Size:37,38,39,40",1799,899,50% off,Footwear-Women
22071,skechers,synthetic slip on womens sports shoes - multi,"Size:6,7,8,9",3499,2099,40% off,Footwear-Women
22072,clarks,leather slipon womens formal ballerinas - black,"Size:4,5,6,7,8",3999,1999,50% off,Footwear-Women
22073,crocs,croslite slip on womens casual wear flats - black,"Size:3,4,5,6,7",1698,1995,No Discount,Footwear-Women
22074,ceriz,polyurethane open toe womens casual sandals - sage,"Size:35,36,37,38,39,40,41",1698,2299,No Discount,Footwear-Women
22075,inc.5,synthetic slipon womens casual wear sandals - green,"Size:37,38",2190,1095,50% off,Footwear-Women
22076,catwalk,womens floral rim mules - blue,Size:5,1995,599,70% off,Footwear-Women
22077,haute curry,suede slip on womens one toe flats - grey,"Size:36,37,38,39,40,41",2799,1959,30% off,Footwear-Women
22078,inc.5,synthetic slip on womens party wear sandals - gold,"Size:5,6,7,8,9,10",1698,2690,No Discount,Footwear-Women
22079,solethreads,cushion classic super soft comfort womens flip flops - dusty peach,"Size:4,5,6,7,8,9",1698,599,No Discount,Footwear-Women
22080,shoetopia,synthetic womens casual sandals - peach,"Size:36,37,38,39,40,41",999,699,30% off,Footwear-Women
22081,inc.5,synthetic slipon womens casual wear flats - white,"Size:37,38,39,40,41",2190,1095,50% off,Footwear-Women
